src_port,dst_port,protocol,packets_per_sec,bytes_per_sec,avg_packet_size,flow_duration_sec,src_ip_entropy,dst_port_entropy,new_flows_per_sec,num_distinct_src_ips,label
0,80,6,13.5,729.0,54.0,0.494,1.0,1.0,1.0,2,dos
0,5000,6,14.0,756.0,54.0,0.489,1.0,1.0,1.0,2,dos
0,80,6,4356.0,235224.0,54.0,2.4939999999999998,1.0,1.0,0.0,2,dos
0,5000,6,4356.0,235224.0,54.0,2.489,1.0,1.0,0.0,2,dos
0,80,6,4411.0,238194.0,54.0,4.501,1.0,1.0,0.0,2,dos
0,5000,6,4411.0,238194.0,54.0,4.496,1.0,1.0,0.0,2,dos
0,80,6,1218.0,65772.0,54.0,6.504,1.0,1.0,0.0,2,dos
0,5000,6,1218.0,65772.0,54.0,6.499,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,8.505,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,8.5,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,10.507,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,10.502,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,12.51,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,12.505,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,14.513,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,14.508,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,16.514,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,16.509,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,18.516,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,18.511,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,20.519,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,20.514,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,22.519,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,22.514,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,24.521,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,24.516,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,26.523,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,26.518,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,28.525,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,28.52,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,30.527,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,30.522,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,32.53,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,32.525,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,34.532,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,34.527,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,0.809,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,0.802,1.0,1.0,0.0,2,dos
0,80,6,3619.5,195453.0,54.0,2.809,1.0,1.0,0.0,2,dos
0,5000,6,3619.5,195453.0,54.0,2.802,1.0,1.0,0.0,2,dos
0,80,6,4327.5,233685.0,54.0,4.8100000000000005,1.0,1.0,0.0,2,dos
0,5000,6,4327.5,233685.0,54.0,4.803,1.0,1.0,0.0,2,dos
0,80,6,1258.5,67959.0,54.0,6.813,1.0,1.0,0.0,2,dos
0,5000,6,1258.5,67959.0,54.0,6.806,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,8.816,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,8.809,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,10.818999999999999,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,10.812,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,12.821,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,12.814,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,14.824,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,14.817,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,16.825,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,16.818,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,18.826999999999998,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,18.82,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,20.829,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,20.822,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,22.84,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,22.833,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,24.842,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,24.835,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,26.845,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,26.838,1.0,1.0,0.0,2,dos
0,80,6,1023.0,55242.0,54.0,28.85,1.0,1.0,0.0,2,dos
0,5000,6,1023.0,55242.0,54.0,28.843,1.0,1.0,0.0,2,dos
0,80,6,4246.5,229311.0,54.0,30.851,1.0,1.0,0.0,2,dos
0,5000,6,4246.5,229311.0,54.0,30.844,1.0,1.0,0.0,2,dos
0,80,6,3743.0,202122.0,54.0,32.853,1.0,1.0,0.0,2,dos
0,5000,6,3743.0,202122.0,54.0,32.846,1.0,1.0,0.0,2,dos
0,80,6,1697.5,91665.0,54.0,34.859,1.0,1.0,0.0,2,dos
0,5000,6,1697.5,91665.0,54.0,34.852,1.0,1.0,0.0,2,dos
0,80,6,2003.0,108162.0,54.0,36.86,1.0,1.0,0.0,2,dos
0,5000,6,2003.0,108162.0,54.0,36.853,1.0,1.0,0.0,2,dos
0,80,6,1918.0,103572.0,54.0,38.863,1.0,1.0,0.0,2,dos
0,5000,6,1918.0,103572.0,54.0,38.856,1.0,1.0,0.0,2,dos
0,80,6,3308.5,178659.0,54.0,40.872,1.0,1.0,0.0,2,dos
0,5000,6,3308.5,178659.0,54.0,40.865,1.0,1.0,0.0,2,dos
0,80,6,2764.0,149256.0,54.0,42.876,1.0,1.0,0.0,2,dos
0,5000,6,2764.0,149256.0,54.0,42.869,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,44.878,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,44.871,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,46.88,1.0,1.0,0.0,2,dos
0,5000,6,0.0,0.0,54.0,46.873,1.0,1.0,0.0,2,dos
0,80,6,0.0,0.0,54.0,48.886,1.0,1.5,1.0,2,dos
