src_port,dst_port,protocol,packets_per_sec,bytes_per_sec,avg_packet_size,flow_duration_sec,src_ip_entropy,dst_port_entropy,dst_ip_entropy,new_flows_per_sec,num_distinct_src_ips,num_distinct_dst_ips,label
0,0,1,1.0,98.0,98.0,31.214,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,31.214,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,31.212,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,31.212,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,33.216,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,33.216,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,33.214,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,33.214,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,35.218,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,35.218,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,35.216,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,35.216,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,37.224,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,37.224,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,37.222,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,37.222,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,39.227,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,39.227,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,39.225,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,39.225,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,41.228,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,41.228,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,41.226,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,41.226,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,43.229,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,43.229,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,43.227,1.5,-0.0,1.5,0.0,3,3,normal
