src_port,dst_port,protocol,packets_per_sec,bytes_per_sec,avg_packet_size,flow_duration_sec,src_ip_entropy,dst_port_entropy,new_flows_per_sec,num_distinct_src_ips,label
0,36240,6,48118.5,3175833.0,66.00072686546685,17.318,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,5001,6,50216.0,2246009800.0,44770.7015313626,12.006,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,38892,6,46310.0,3056484.0,66.00059458092844,12.005,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,5001,17,482.5,729540.0,1512.0,5.533,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,0,1,1.0,98.0,98.0,25.448,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,0,1,1.0,98.0,98.0,25.447,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,5001,6,52499.0,2318946150.0,46822.51995965089,19.338,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,36240,6,50909.0,3359994.0,66.00064560685398,19.33,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,5001,6,49508.5,2198593185.0,44733.693152030275,14.018,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,38892,6,47053.0,3105504.0,66.00054470248463,14.017,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,5001,17,452.0,683424.0,1512.0,7.545,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,0,1,1.0,98.0,98.0,27.449,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,0,1,1.0,98.0,98.0,27.448,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,5001,6,114858.5,5124108109.0,46504.758094527584,21.339,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,36240,6,107667.5,7106055.0,66.00052215333193,21.331,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,5001,6,107859.5,4822970903.0,44730.34673336304,16.019,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,38892,6,100278.5,6618429.0,66.000532459705,16.018,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,5001,17,460.0,695520.0,1512.0,9.546,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,0,1,1.0,98.0,98.0,29.469,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,0,1,1.0,98.0,98.0,29.468,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,5001,6,100874.5,4445902969.0,46232.19604051289,23.359,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,36240,6,98374.0,6492696.0,66.00046263608833,23.351,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,5001,6,98241.0,4361680958.0,44683.04777084356,18.039,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,38892,6,93472.0,6169170.0,66.00048237745878,18.038,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,5001,17,458.0,692496.0,1512.0,11.566,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,0,1,0.5,49.0,98.0,31.47,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,0,1,0.5,49.0,98.0,31.469,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,5001,6,49262.5,2268768277.0,46222.981029487615,25.36,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,36240,6,35893.5,2369013.0,66.00049905316135,25.352,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,5001,6,49048.0,2199185084.0,44693.28121380056,20.04,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,38892,6,39743.0,2623044.0,66.00046283865474,20.039,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,5001,17,460.5,696276.0,1512.0,13.567,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,0,1,1.0,98.0,98.0,33.481,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,0,1,1.0,98.0,98.0,33.48,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,5001,6,78978.0,3546535280.0,46121.752467768834,27.371,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,36240,6,66462.5,4386597.0,66.00054989440719,27.363,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,5001,6,78197.0,3529594182.0,44735.717323005985,22.051,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,38892,6,64833.5,4279059.0,66.00048718797133,22.05,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,5001,17,525.0,793800.0,1512.0,15.578,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,0,1,1.0,98.0,98.0,35.484,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,0,1,1.0,98.0,98.0,35.483,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,5001,6,62889.0,3185924410.0,46383.34883868026,29.374,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,36240,6,37744.5,2491167.0,66.00056142802337,29.366,1.5566567074628228,1.8423709931771088,0.0,3,normal
0,5001,6,58027.5,2605219571.0,44746.35340468775,24.054,1.5566567074628228,1.8423709931771088,0.0,3,normal
